Person,count,relevance (y/n/unsure),Categories,full name
George Orwell,131,y,Literature,George Orwell
George Soros,689,y,Business,George Soros
George W. Bush,41,y,Politics,George W. Bush
George Washington,47,y,Politics,George Washington
GeorgeOrwell,49,y,Literature,George Orwell
Ghislaine Maxwell,192,y,Business,Ghislaine Maxwell
Giuseppe Conte,30,y,Politics,Giuseppe Conte
Glenn Beck,35,y,Conspiracy Theory,Glenn Beck
God,2074,y,Religion,God
Greg Reese,26,y,Entertainment,Gregory Reese
Greta,36,y,unsure,Greta Thunberg
Greta Thunberg,51,y,Activism,Greta Thunberg
Gretchen Whitmer,39,y,Politics,Gretchen Whitmer
Hailey Baldwin,25,y,Entertainment,Hailey Baldwin
Harry Potter,25,y,Entertainment,Harry Potter
Harry Vox,52,y,Conspiracy Theory,Harry Vox
Harvey Weinstein,90,y,Entertainment,Harvey Weinstein
Henry Kissinger,50,y,Politics,Henry Kissinger
Hildmann,29,y,Literature,Attila Hildmann
Hillary Clinton,480,y,Politics,Hillary Clinton
Hitler,289,y,Politics,Adolf Hitler
Horus,34,y,Religion,Horus
Ilhan Omar,30,y,Politics,Ilhan Omar
Isaac Kappy,79,y,Entertainment ,Isaac Kappy
Jack Dorsey,26,y,Business,Jack Dorsey
Jacob Blake,32,y,Law and law enforcement,Jacob Blake
Jacob Rothschild,72,y,Business,Jacob Rothschild
James Alefantis,32,y,Arts and culture ,James Alefantis
James Bond,25,y,Entertainment,James Bond
James Comey,68,y,Politics,James Comey
James Corbett,32,y,Literature,James Corbett
James Freeman,25,y,Media and journalism,James Freeman
James Munder,59,y,,
Janet Osatenbaad,165,y,unsure,
Jared Kushner,63,y,Politics,Jared Kushner
Jay Inslee,32,y,Politics,Jay Inslee
Jay Z,29,y,Entertainment,Jay Z
Jay-Z,32,y,Entertainment ,Jay-Z
Jeff Bezos,64,y,Business,Jeff Bezos
Jeff Sessions,31,y,Politics,Jeff Sessions
Jeffrey Epstein,381,y,Business,Jeffrey Epstein
Jehovah,295,y,Religion,Jehovah
Jennifer Mac,110,y,Literature,Jennifer Mac
Jens Spahn,42,y,Politics,Jens Spahn
Jerome Adams,26,y,Science,Jerome Adams
Jesus,4507,y,Religion,Jesus Christ
Jesus Christ Yahusha,845,y,Religion,Jesus Christ
Jezebel,34,y,Religion,Jezebel
JFK Jr,31,y,Politics,John F. Kennedy Jr.
Jim Carrey,32,y,Entertainment,Jim Carrey
Jimmy Kimmel,40,y,Entertainment,Jimmy Kimmel
Joan Rivers,32,y,Entertainment ,Joan Rivers
Joe Biden,792,y,Politics,Joe Biden
Joe Rogan,43,y,Media and journalism,Joe Rogan
John Brennan,34,y,Law and law enforcement,John Brennan
John Durham,36,y,Law and law enforcement,John Durham
John F. Kennedy,81,y,Politics,John F. Kennedy
John Ioannidis,38,y,Science,John Loannidis
John Kerry,29,y,Politics,John Kerry
John Legend,24,y,Entertainment,John Legend
John Lennon,24,y,Entertainment,John Lennon
John Magufuli,30,y,Politics,John Magufuli
John McCain,32,y,Politics,John McCain
John Podesta,136,y,Politics,John Podesta
John Roberts,25,y,Politics,John Roberts
John the Baptist,24,y,Religion,John the Baptist
Jordan Maxwell,60,y,Literature,Jordan Maxwell
Joyce Sanchez,85,y,,Joyce Sanchez
Juan Sebastián,50,y,Sports ,Juan Sebastián
Judas,43,y,Religion,Judas
Judy Mikovits,200,y,Conspiracy Theory,Judy Mikovits
Julian Assange,37,y,Activism,Julian Assange
Justin Bieber,59,y,Entertainment,Justin Bieber
Justin Trudeau,51,y,Politics,Justin Trudeau
Kamala Harris,64,y,Politics,Kamala Harris
Kary Mullis,26,y,Science,Kary Mullis
Katt Williams,25,y,Entertainment,Katt Williams
Katy Perry,63,y,Entertainment,Katy Perry
Keanu Reeves,28,y,Entertainment,Keanu Reeves
Kennedy Jr.,104,y,Law and law enforcement,John F. Kennedy Jr.
Kevin Spacey,39,y,Entertainment,Kevin Spacey
Kim Kardashian,27,y,Entertainment,Kim Kardashian
King Spiros,148,y,Religion,King Spiros
King John lll,46,y,Politics,King John III
Kissinger,35,y,Politics,Henry Kissinger
Kobe Bryant,28,y,Sports,Kobe Bryant 
Lady Gaga,100,y,Entertainment,Lady Gaga
Laura Ingraham,26,y,Entertainment,Laura Ingraham
Lil Wayne,24,y,Entertainment,Lil Wayne
Lindsey Graham,26,y,Politics,Lindsey Graham
Louis Pasteur,36,y,Science,Louis Pasteur
Lucifer,189,y,Religion,Lucifer
Mac Miller,77,y,Entertainment,Mac Miller
Madonna,139,y,Entertainment,Madonna
Malcolm,31,y,Politics,Malcolm X
Malcolm X,50,y,Activism,Malcolm X
Margaret Sanger,53,y,Activism,Margaret Sanger
Marilyn Monroe,28,y,Entertainment,
Marina Abramovic,63,y,Arts and culture,Marina Abramovic
Marina Abramović,27,y,Arts and culture,Marina Abramović
Marina Abromovic ,36,y,Arts and culture,Marina Abramović
Mark of the Beast,28,y,Religion,Number of the Beast
Mark Passio,34,y,Activism,Mark Passio
Mark Zuckerberg,135,y,Business,Mark Zuckerberg
Marshall,23,y,unsure,Marshall McLuhan
Martin Luther King,50,y,Politics,Martin Luther King
Martin Luther King Jr.,43,y,Activism,Martin Luther King Jr.
Mary Magdalene,34,y,Religion,Mary Magdalene
Matt Groening,25,y,Entertainment,Matt Groening
Matt Hancock,29,y,Politics,Matt Hancock
McCain,26,y,Politics,John McCain
Mel Gibson,29,y,Entertainment,Mel Gibson
Melinda Gates,254,y,Business ,Melinda Gates
Mercola,23,y,Science,Joseph Mercola
Merkel,48,y,Politics,Angela Merkel
Michael,163,y,unsure,Michael (the Evangelist)
Michael Bloomberg,28,y,Politics,Michael Bloomberg
